float,boolean,string,Age,Salary
79.3732859,FALSE,date,59,347.7553081
71.00779473,FALSE,cherry,124,error
37.24055175,TRUE,banana,7,410.7452252
116.4327282,TRUE,banana,1,480.8464322
86.46537468,FALSE,apple,71,489.0859931
100.4547662,FALSE,apple,24,264.7463082
34.38261763,TRUE,banana,96,489.9964457
68.08877473,TRUE,cherry,105,288.3346676
3.655399764,TRUE,date,119,267.2807928
49.31567533,,apple,97,
56.7209074,,apple,24,370.492581
22.99761196,FALSE,elderberry,70,258.5728963
61.91572535,FALSE,date,20,
68.43253499,FALSE,date,75,225.6042395
10.55176007,FALSE,cherry,69,467.0016025
21.12640462,FALSE,cherry,53,399.0505307
112.3403419,FALSE,date,123,228.194582
123.4062343,FALSE,apple,93,284.2317087
108.3851007,TRUE,date,55,271.1747262
26.7579179,TRUE,date,16,389.3415878
14.91799408,,cherry,36,362.1905365
119.9217763,TRUE,date,92,371.018351
38.68665966,,banana,70,273.196893
100.4938747,TRUE,apple,12,99.5
34.38261763,TRUE,banana,96,489.9964457
1.712353109,FALSE,date,113,350.4548884
24.65918177,,cherry,123,
5.436119224,FALSE,cherry,19,478.4955688
16.74293229,FALSE,banana,90,311.0476101
92.34136254,TRUE,banana,32,
,TRUE,banana,19,285.9623756
126.1183709,TRUE,apple,68,
86.46537468,FALSE,apple,71,489.0859931
47.24207898,TRUE,elderberry,37,301.3985471
77.42147938,TRUE,date,,350.7911279
15.94710868,FALSE,cherry,32,312.6748858
21.12329312,TRUE,date,44,201.5184752
107.9071387,TRUE,apple,42,422.2305853
12.41553276,TRUE,cherry,57,229.1529481
57.77967169,FALSE,banana,19,474.4593171
105.2832579,FALSE,banana,20,393.6416888
40.24724934,FALSE,,17,454.7670231
19.17922502,FALSE,elderberry,,288.0775533
125.5665323,FALSE,apple,3,207.2947899
112.7367228,FALSE,cherry,32,364.6201368
118.3023319,TRUE,banana,20,328.4552445
,TRUE,elderberry,,
128.3084148,TRUE,banana,121,460.1216956
67.33624256,FALSE,elderberry,97,438.4433911
38.56855909,TRUE,elderberry,69,228.1024303
41.1167195,FALSE,cherry,99,invalid
102.287699,FALSE,,112,467.6139666
106.1945243,FALSE,elderberry,2,439.4885537
24.84622476,TRUE,,40,455.3410015
28.39174528,TRUE,banana,75,297.6199094
59.83302796,FALSE,cherry,11,317.9293174
78.22694446,,cherry,2,230.4414629
68.69357968,TRUE,elderberry,38,397.2838677
89.26606042,TRUE,cherry,,486.1785731
78.54383651,FALSE,cherry,70,407.5685593
81.40545836,FALSE,elderberry,119,NaN
8.49278597,FALSE,elderberry,90,248.2424154
104.4834105,FALSE,date,90,442.8083466
40.29517622,FALSE,cherry,124,253.1332038
93.00857755,,,54,238.1181538
9.199027187,TRUE,apple,,339.6794054
78.12909727,,banana,,408.808939
126.076417,FALSE,elderberry,39,295.0766015
100.6195752,FALSE,banana,116,473.9721658
41.21072882,TRUE,cherry,52,455.9028366
9.199027187,TRUE,apple,,339.6794054
,FALSE,apple,94,463.2119216
116.4327282,TRUE,banana,1,480.8464322
56.15279137,TRUE,apple,113,215.5045164
64.8778214,TRUE,apple,67,204.636985
6.834320269,FALSE,date,50,497.016155
71.52562604,TRUE,banana,33,315.5293186
16.42765773,TRUE,date,24,308.0571924
26.28178925,FALSE,apple,89,384.502168
95.04192468,FALSE,apple,48,410.5900632
9.391655495,FALSE,elderberry,80,
4.27906735,TRUE,apple,72,359.4063895
42.96761267,TRUE,elderberry,23,242.0252046
47.02117914,TRUE,date,99,
115.4504438,TRUE,date,3,211.2044566
13.59970271,FALSE,cherry,59,482.1375753
6.992103241,TRUE,,124,373.0711654
73.40475849,FALSE,apple,,430.9980659
123.6421455,FALSE,date,1,381.9287179
122.1953635,FALSE,cherry,104,367.0403787
18.99470802,TRUE,elderberry,98,
95.42721849,TRUE,cherry,19,202.7591155
48.26067778,FALSE,banana,86,491.9031664
83.2449138,TRUE,cherry,80,209.150075
,FALSE,banana,116,386.8671427
92.18459736,TRUE,apple,1,394.9891792
95.11919701,TRUE,banana,48,377.2499782
43.68584521,FALSE,date,9,210.7826821
79.92902342,TRUE,banana,116,310.3147409
51.13937037,TRUE,banana,31,355.4988957
26.63432292,FALSE,cherry,60,353.4027197
24.45542077,TRUE,cherry,56,wrong
99.14127127,TRUE,date,120,356.672978
100.9921342,,apple,82,250.847824
100.6195752,FALSE,banana,116,473.9721658
